,Data,User,Pesan,Saham,Jam,Tanggal
22,23,Benhan,"Membalas : Sebenarnya kalau lihat profile CENT dan PBV relatif terhadap kompetitor, masih lumayan OK dan termasuk murah. Penundaan RI mungk
Setuju ini. Mungkin setelah ngobrol2 dg yg punya tower, ga terlalu urgent right issue ini. Secara prospek CENT masih bagus. Ya ARB sekali lagi lah besok  
Membalas : Modal saya 254 Mas. Mau kekep ikut RI berikutnya
Kita yg keluar masuk SAME mau sejago apapun ga bisa cuan lebih dari Pakde yg avg nya di 254  ","CENT,SAME",8:26:19 PM,Monday April 26 2021
23,24,Simon Thany,"Membalas : https://finansial.bisnis.com/read/20210415/90/1381698/bank-bjb-bjbr-mau-tambah-modal-via-rights-issue-siap-ekspansi-kredit
terima kasih Pak  ",BJBR,8:23:47 PM,Monday April 26 2021
24,25,Genial Nugraha,"Membalas : Udh ketinggalan kereta ANTM / INCO blm ya kl masuk skrg2 ini
Belum pak","ANTM,INCO",8:13:05 PM,Monday April 26 2021
25,26,ZhaoMin81,"Membalas : BNI bukukan laba bersih Rp 2,39 triliun pada kuartal pertama 2021 http://keuangan.kontan.co.id/news/bni-bukukan-laba-bersih-rp-
Mudah2 an BBRI juga ikut Moncer ya :rocket::tada::airplane:
Membalas : Nikle to the moon
Udh ketinggalan kereta ANTM / INCO blm ya kl masuk skrg2 ini","ANTM,BBRI,INCO",8:10:50 PM,Monday April 26 2021
26,27,Eddie,"Ini adalah foto
Membalas : Apa benar ADRO 99,92% dari laba tahun berjalan untuk dividen tunai final? Jika ya, wow.....
Berita diatas yaa  ",ADRO,8:03:18 PM,Monday April 26 2021
27,28,Suhanto Agus,"Membalas : https://finansial.bisnis.com/read/20210415/90/1381698/bank-bjb-bjbr-mau-tambah-modal-via-rights-issue-siap-ekspansi-kredit
Oh iya ini beritanya ya, sesuai jangka waktunya maks 12 bulan.",BJBR,8:02:04 PM,Monday April 26 2021
28,29,Suhanto Agus,"Ini adalah foto
Membalas : BJBR kl ga salah RI nya masih nanti di Q1 2022
Itu ya Pak, tidak lebih dari 12 bulan berarti saat RUPST sd 12 bulan ke depan masih bebas-bebas saja manajemen menentukan kapan mau right issue",BJBR,7:59:56 PM,Monday April 26 2021
29,30,Simon Thany,"Membalas : BJBR kl ga salah RI nya masih nanti di Q1 2022
Apakah sudah ada news nya ?

Saya baca bbtn akan right issue Q1 2022","BACA,BBTN,BJBR",7:56:39 PM,Monday April 26 2021
30,31,stanley,"Membalas : Ooo RI itu memang jangka waktunya panjang dan Emiten bebas menentukan dalam rentang waktu itu ya ? Saya nungguin berita RI BJBR
BJBR kl ga salah RI nya masih nanti di Q1 2022",BJBR,7:48:28 PM,Monday April 26 2021
31,32,Kaanz',"Iya betul sih kemungkinan balik lagi bawah , sekarang siklus fullmoon siap"" besok turun lebih dalem 
CENT tunda RI?",CENT,7:29:25 PM,Monday April 26 2021
32,33,Frendi cari-ara,"Sebenarnya kalau lihat profile CENT dan PBV relatif terhadap kompetitor, masih lumayan OK dan termasuk murah. Penundaan RI mungkin karena mempertimbangkan opsi lain seperti Hu Billy utarakan. Tower yg di akuisisi EP sebanyak 4000 tower kemungkinan besar akan di float juga dan CENT ini kendaraan yg sudah siap. Mungkin utk trading agak berat saat ini, tapi swing sd akhir Jun2021 saya lihat bagus.",CENT,7:29:03 PM,Monday April 26 2021
33,34,rahmad,"Membalas : Masalahnya di kalimat anda menuliskan 'lagi'... Saya pikir saya ketinggalan berita kalau SAME jg menunda RInya...
haha iya saya typo tadi, maksudnya saat ri lagi ada kemungkinan",SAME,7:26:34 PM,Monday April 26 2021
34,35,Rui :rocket: :speedboat::dancer: ,"Membalas : ya saya hanya bilang ada kemungkinan berkaca dari cent ini  edit: iya saya typo kata lagi bu
Masalahnya di kalimat anda menuliskan 'lagi'... Saya pikir saya ketinggalan berita kalau SAME jg menunda RInya...","CENT,SAME",7:25:58 PM,Monday April 26 2021
35,36,Kaanz',"Membalas : Yah malah arb   baru jg ngira bakal dijagain, dan lagi2 ulahnya si RF #CENT
Ternyata kalo di lihat secara jeli udah hit Eliot wave 5, apakah alan dihajar , pdhal saya tadi masuk wkwkwk baru nyadar setelah saya koreksi lagi ",CENT,7:25:32 PM,Monday April 26 2021
36,37,Fajar Oktavaria,"Coming soon akan ada yang bilang TT pompom same, live di stockbit  ",SAME,7:23:36 PM,Monday April 26 2021
37,38,rahmad,"Membalas : Lagi? Kapan SAME pernah menunda RI?
ya saya hanya bilang ada kemungkinan berkaca dari cent ini  edit: iya saya typo kata lagi bu ","CENT,SAME",7:23:32 PM,Monday April 26 2021
38,39,Hendro Masori,"Bagaimana MA20 mengawal harga SAME. Yg cuma mau trading you know what to do kalau jebol ke bawah...
Ini adalah foto
Yg optimis masih bakal naek ya kesempatan ambil di MA20
Kalau jebol CL nya gak perih2 amat
Kalau saya... Kuncinya ilang.  ",SAME,7:21:29 PM,Monday April 26 2021
39,40,Rui :rocket: :speedboat::dancer: ,"Membalas : same juga ada chance tunda ri ya berkaca dari kejadian ini kalau begitu, tetap pantau ketat
Lagi? Kapan SAME pernah menunda RI?",SAME,7:20:03 PM,Monday April 26 2021
40,41,rahmad,"Membalas : Photo
indikasi batal ri ya, okelah mungkin party is over
same juga ada chance tunda ri ya berkaca dari kejadian ini kalau begitu, tetap pantau ketat",SAME,7:17:05 PM,Monday April 26 2021
41,42,Aho Lie,"Membalas : Tidak selalu maksud baik berakhir baik
Bener bgt    
Membalas : Bahasa invest adalah jalan ninja untuk tenang  sebentar . Sama halnya seperti istilah  Maintenance  obat tenang buat yang kena j
Wmaksd saya begitu udah kejual suruh beli saham 2 yg bank aja buat invest pjg  
Klo ikut kita jadi gak konsen jg ditanya melulu mana jam bursa lg  ",BANK,7:13:59 PM,Monday April 26 2021
42,43,Aho Lie,"Membalas : gak lah... amit2... anggap deposito
Klo kelas bbtn lq45 berani saya ngomongnya
Membalas : Jangankan saudara pak, ke teman aja kalo Untung ga di bagi, kalo boncos di maki-maki. Padahal siapa yg punya jari
Ia pak tetep aja masalh saya udah untung di lsin dia mash nyangkut tar bilg invest aja biar dia teng saya jg   ",BBTN,7:10:20 PM,Monday April 26 2021
43,44,Fajar Oktavaria,"Membalas : Beban moral ya jadi Salesnya CENT hehe
Beban moral ngasih SP ke saudara/kerabat sepertinya",CENT,7:07:51 PM,Monday April 26 2021
44,45,Aho Lie,"Membalas : Beban moral ya jadi Salesnya CENT hehe
Ipar pak dia ikutin saya tp dia gak lgs aksi byk tanya dulu kereta udah nyosor terus saya yg gak ensk","AKSI,CENT",7:07:17 PM,Monday April 26 2021
45,46,RBTAN59,"Membalas : Ipar tlp melulu besok hrg cent segini laku gak ya yg lucu dia pakai ipot kok udah pasang sell 298 jam 9 teng kok gak kejual ya
sebener nya gak masalah   kalo sabar... nti jg pasti balik sentuh ke 300an lg",CENT,7:06:22 PM,Monday April 26 2021
46,47,Benhan,Beban moral ya jadi Salesnya CENT hehe,CENT,7:06:15 PM,Monday April 26 2021
47,48,Aho Lie,Tp logika hrsnya laku dong kan 302 buka gak lgs apa cumen 2 lot 302 trus 1lot 300 lgsdibawah  ,TRUS,7:06:08 PM,Monday April 26 2021
48,49,RBTAN59,"Membalas : Ipar tlp melulu besok hrg cent segini laku gak ya yg lucu dia pakai ipot kok udah pasang sell 298 jam 9 teng kok gak kejual ya
mgkn kalah antrian",CENT,7:04:51 PM,Monday April 26 2021
49,50,Aho Lie,"Membalas :    
Ipar tlp melulu besok hrg cent segini laku gak ya yg lucu dia pakai ipot kok udah pasang sell 298 jam 9 teng kok gak kejual ya
Padhl kan buka 302 saya udah ajarin sell dua tick dibawah open ",CENT,7:03:46 PM,Monday April 26 2021
50,51,Johny,"Membalas : Photo
Cent batal RI  ",CENT,7:02:54 PM,Monday April 26 2021
51,52,Aho Lie,"Membalas :    
Ini guyon aja cocok2an saya lg di cent serg krluar masuk ada berita kapal selam tenggelam pas analisa saya harga juga arah 402 waduh kode Arb nih hbs ilang e     
Membalas : nack pack payung udara siap lompat spt koh Aho loncat dr gerbong cent
Saya emang rabu mau incer fren makanya sinyal gsk bagus buang koper loncat   ","CENT,FREN",7:00:55 PM,Monday April 26 2021
52,53,RBTAN59,"Membalas : Mudah2an tetrp waspada   
   
nack pack payung udara siap lompat spt koh Aho loncat dr gerbong cent ",CENT,6:58:51 PM,Monday April 26 2021
53,54,Aho Lie,"Membalas : hari ini keberuntungan mppa msh sdg di isolasi... spy terhindar dr marabahaya
Mudah2an tetrp waspada   ",MPPA,6:57:50 PM,Monday April 26 2021
54,55,RBTAN59,"hari  ini keberuntungan mppa msh sdg di isolasi... spy terhindar dr marabahaya   
Membalas : kalo mppa urusan nya bukan Ri.. tp bagaimana piutang usd300jt bisa kembali utuh
jd sulit gimana ngebatalin nya  
udah kadung.. hrs lanjut..   ",MPPA,6:54:44 PM,Monday April 26 2021
55,56,RBTAN59,"Membalas : Hati2 Ri mppa jg bisa prank    
kalo mppa urusan nya bukan Ri.. tp bagaimana piutang usd300jt bisa kembali utuh ",MPPA,6:53:31 PM,Monday April 26 2021
