,Data,User,Pesan,Saham,Jam,Tanggal
37,38,Rui :rocket: :speedboat::dancer: ,"Membalas : SAME di SAMEKDOWN ya...sakit juga
bandar AK lagi nakal   guyuran penutupan .... untung ketahan ...",SAME,3:19:17 PM,Sunday May 30 2021
38,39,Jim,SAME di SAMEKDOWN ya...sakit juga,SAME,3:05:09 PM,Sunday May 30 2021
39,40,Aldi,"Membalas : Menu Buy Close 01-06-21 : jjs ke mall PWON. naik mobil ASII. lewati jln tol JSMR. sambil nonton SCMA. sembari ngerokok HMSP.
asii udah mulai jalan ya pak... seperti nya udah mulai start akum nih  ","ASII,HMSP,JSMR,PWON,SCMA",3:02:51 PM,Sunday May 30 2021
40,41,Novaldo Ruslan,bbhi mantap,BBHI,2:57:34 PM,Sunday May 30 2021
41,42,Made Karya,"Menu Buy Close 01-06-21 :
jjs ke mall PWON.
naik mobil ASII.
lewati jln tol JSMR.
sambil nonton SCMA.
sembari ngerokok HMSP.   ","ASII,HMSP,JSMR,PWON,SCMA",2:55:11 PM,Sunday May 30 2021
42,43,hery,"Membalas : Vira Daily: Mau tanya donk Klo di suspend itu brp lama yah Sril
kalau masalah hutang begini, sampai beres masalahnya",SRIL,2:52:36 PM,Sunday May 30 2021
43,44,Suyanto SK,"PPRO mosok ga di haka wkakkk
Ini adalah foto",PPRO,2:31:35 PM,Sunday May 30 2021
44,45,Imanuel Tito Sirait,Mlpl mau rups tgl 6,MLPL,2:31:15 PM,Sunday May 30 2021
45,46,J Saut,"Suhu2, MARI n ABBA layak di hold dulu kah?","ABBA,MARI",2:30:25 PM,Sunday May 30 2021
46,47,Erick Sonjaya,bbri pada ngeri belinya takut dibanting lagi di akhir sesi,BBRI,2:29:39 PM,Sunday May 30 2021
47,48,Hendra Choo,BMRI resis d ma50 d 6200. moga jebol minggu ini.,BMRI,2:29:00 PM,Sunday May 30 2021
48,49,Charles Prop,"Membalas : mantap BMRI udh d 6000. mulai bullish.    
blum pasti pak. harus diatas high kemarin dlu.  semoga saja juni ini seperti taun kemarin party2 semua",BMRI,2:20:03 PM,Sunday May 30 2021
49,50,Andre Salim,"Membalas : mantap BMRI udh d 6000. mulai bullish.    
awas ZP salah pencet akhir sesi",BMRI,2:18:09 PM,Sunday May 30 2021
50,51,Suyanto SK,"Membalas : ad yg pegang bsde ga udh seminggu d situ2 aj
hold keras.... bandar akum..... santai saja..... kebawah ambil lagi, kebawah ambil lagi....kebawah ambil lagi....kebawah ambil lagi....masih kebawah juga..... dah lah....... uninstall trade platform nya wkakkk
PTPP wow","BSDE,PTPP",2:05:11 PM,Sunday May 30 2021
51,52,Dane Fernando,Go beks,BEKS,1:56:04 PM,Sunday May 30 2021
52,53,Hendra Choo,mantap BMRI udh d 6000. mulai bullish.    ,BMRI,1:55:40 PM,Sunday May 30 2021
53,54,Vira Daily,"Vira Daily:
Mau tanya donk

Klo di suspend itu brp lama yah

Sril",SRIL,1:50:54 PM,Sunday May 30 2021
54,55,Govi,Haka zinc,ZINC,1:44:43 PM,Sunday May 30 2021
55,56,Rui :rocket: :speedboat::dancer: ,"SAME bentuknya mirip dengan RI sebelumnya .... bisa kemungkinan sideway panjang di area 550-600 atau 600 - 615 ni sampai 5 Juli periode dagang RI dimulai nanti.... Why? Karena analisa  saya RI nanti rationya kurang lebih 2:1 (induk:R) dan harga tebus kisaran 350 - Disclaimer: hanya analisa, harga tebus dan ratio belum diumumkan oleh pihak manajemen SAME

Karena kalau harga tebus di 350an dengan ratio 2:1, kalau harga dibawa terlalu tinggi nanti harga teoritisnya bakalan terlalu jatuh nanti...

Semoga saya salah dan tetap diajak nanjak naik hahaha ... tapi ingat CL tetap dipasang ya

Bukan rekomendasi, sekali lagi hanya analisa, saya sudah punya SAME di harga bawah
Ini adalah foto",SAME,11:58:41 AM,Sunday May 30 2021
56,57,UMAR,"Membalas : Maaf teman2, ada yg sudah dapat info kapan cumdate dividen MPMX dan HMSP?
Menunggu juga ini yg MPMX pak jutha ada posisi soalnya ","HMSP,MPMX",11:53:52 AM,Sunday May 30 2021
57,58,Rui :rocket: :speedboat::dancer: ,"Membalas : 570 jebol ga nih..   :rocket::rocket::rocket:
harapannya....       pasang TS aj kak kalau memang mau di trade

Primbon berikutnya di tanggal 9-11 Juni nanti ada reversal lagi di SAME    semoga benar  ",SAME,11:47:31 AM,Sunday May 30 2021
58,59,Muhammad Galih,Tbig keren euuy,TBIG,11:35:48 AM,Sunday May 30 2021
59,60,Jutha Bram,"Maaf teman2, ada yg sudah dapat info kapan cumdate dividen MPMX dan HMSP?","HMSP,MPMX",11:29:14 AM,Sunday May 30 2021
60,61,Rui :rocket: :speedboat::dancer: ,"Membalas : @RuiAuxilia SAME nya nurut tuh ama primbon nya   Watch nya skrg, area supply pertama tersentuh, semoga jebol
Hehe, thank you karena ngikut kelas bapak juga      ",SAME,11:16:52 AM,Sunday May 30 2021
61,62,Ms Munir,"Membalas : Pagi teman2 gimana apa ada yg sudah pegang EPMT..mau bagi dividen 8%...apa masih bagus untuk masuk kejar dividen...atau ada kemu
masih aman bu, besok anda bakalan dapet 8% dari modal yg disetor, kalaupun besok arb masih untung 2% lebih, tapi dilihat dari karakter nya mungkin turun ga sampai ARB",EPMT,11:01:48 AM,Sunday May 30 2021
62,63,Chak Roy,"Membalas : @RuiAuxilia SAME nya nurut tuh ama primbon nya   Watch nya skrg, area supply pertama tersentuh, semoga jebol
Mau golden cros",SAME,10:59:15 AM,Sunday May 30 2021
63,64,Hellen -,"Membalas : @RuiAuxilia SAME nya nurut tuh ama primbon nya   Watch nya skrg, area supply pertama tersentuh, semoga jebol
Kalau jebol bs ke brapa Pak Jutha?",SAME,10:58:49 AM,Sunday May 30 2021
64,65,Jutha Bram,"@RuiAuxilia SAME nya nurut tuh ama primbon nya  

Watch nya skrg, area supply pertama tersentuh, semoga jebol ",SAME,10:52:43 AM,Sunday May 30 2021
65,66,Dream Big,BANK BUMN pada naik,BANK,10:34:42 AM,Sunday May 30 2021
66,67,William Limanto,"Membalas : MLPL Ijo
MLPL amannya closed diatas brp ya yg mengindikasikan dia naik?, sy nyangkut di 490-500",MLPL,10:18:16 AM,Sunday May 30 2021
67,68,Benhan,"Membalas : Hepi cuan #ASSA  
Ada yg masih hold sampai right issue?  ",ASSA,9:56:20 AM,Sunday May 30 2021
68,69,Achilles JoKer,"Membalas : keren BGTG  
tapi 1 juta lot jumat loh wkwkwk",BGTG,9:54:48 AM,Sunday May 30 2021
69,70,Dream Big,tumben MAPI ijo,MAPI,9:50:02 AM,Sunday May 30 2021
70,71,Hadi P,"Membalas : Bgtg arb , kok keren?
hbs ara trus arb , keren dunk  ",BGTG,9:48:50 AM,Sunday May 30 2021
71,72,Pemuda Motor,"Bgtg arb , kok keren?",BGTG,9:46:02 AM,Sunday May 30 2021
72,73,Hadi P,keren BGTG  ,BGTG,9:36:49 AM,Sunday May 30 2021
73,74,Erich,bgtg mantap  ,BGTG,9:36:10 AM,Sunday May 30 2021
74,75,Dane Fernando,Go pnbs,PNBS,9:31:25 AM,Sunday May 30 2021
75,76,Tommy Daniel,Hepi cuan #ASSA  ,ASSA,9:29:54 AM,Sunday May 30 2021
76,77,marwan,"Membalas : BGTG joss
di guyur pak",BGTG,9:28:38 AM,Sunday May 30 2021
77,78,Dimas Syarif Hidayat,"Membalas : Adakah yg masih hold mnc grup? Hehe
sy masih pegang KPIG..  ",KPIG,9:28:17 AM,Sunday May 30 2021
78,79,             ,"Membalas : Adakah yg masih hold mnc grup? Hehe
Masih. BABP",BABP,9:27:29 AM,Sunday May 30 2021
79,80,Danil Eko,"Tanya Hu, bbri mau naik sampe brpa ya kita, avg di 4100",BBRI,9:26:22 AM,Sunday May 30 2021
80,81,MIC,Tetap semangat jangan putus assa,ASSA,9:16:38 AM,Sunday May 30 2021
81,82,MIC,BGTG joss,BGTG,9:07:46 AM,Sunday May 30 2021
82,83,Syrf Maulana,Happy cuan yg udah rajin serok TMAS  ,TMAS,9:06:32 AM,Sunday May 30 2021
83,84,Harry Wijaya,"https://youtu.be/X1tltoS485Y kata Direktur nya Q1 2021 Lebih Bagus dari 2020 ( menit 10.50 - selesai ) . Katanya penjualan Kras skrg udah penjualan di bulan September padahal skrg baru bulan Mei . Rilis Q1 2021 nya antara Minggu ini atau Minggu depan , katanya .",KRAS,7:51:49 AM,Sunday May 30 2021
84,85,VIVIE,"May 31st, 2021

*_Good morning,_*

S&P 500 gains slightly to wrap up 4th straight positive month, sits less than 1% from record high

The S&P 500 climbed slightly on Friday to close its fourth straight positive month amid growing optimism over the U.S. economic recovery.

Dow.......34530   +64.8     +0.19%
Nasdaq.13749   +12.5     +0.09%
S&P 500..4204   +3.2        +0.08%
 
FTSE.......7023    +2.9       +0.04%
Dax........15520   +113.3  +0.74%
CAC........6484    +48.4     +0.75%

Nikkei...29150    +600.4    +2.10%
HSI........29124   +11.2       +0.04%
Shanghai .3601  -8.1          -0.22%
ST Times..3179  +13.7      +0.43%

IDX.....5848.62  +6.79       +0.12%
LQ45.....866.67 +2.92       +0.34%

Indo10Yr..6.6091  -0.0092      -0.14%
ICBI.....316.2245  +0.1831      +0.06%
US10Yr..1.5810     -0.0290       -1.80%
VIX..........16.76      +0.02          +0.12%
  
USDIndx .....90.0310  +0.0600   +0.07%
Como Indx...205.70    -0.08         -0.04%
(Core Commodity CRB)
BCOMIN.......161.16   +0.50       +0.31%

*IndoCDS.....76.6027   -0.1230    -0.16%*
 (5-yr INOCD5)  
 
*IDR.....14287.50      -40           -0.28%*
*Jisdor....14310.00  -2              -0.01%*

Euro.........1.2192    -0.0005    -0.04%

TLKM........23.22      -0.33      -1.40%
(3323)
EIDO..........21.36      +0.10     +0.47%
EEM...........54.87      +0.35     +0.64%

Oil............66.32     -0.85          -1.27%
Gold ....1905.30    +5.30         +0.28%
*Timah.30950.50   +687.50   +2.27%:bangbang:*
*Nickel..18187.50  +160.00   +0.89%*
Silver..........28.01      +0.07         +0.26%
Copper.......467.75    +1.45         +0.31%

*Coal price...118.90    +3.00    +3.48%:bangbang:*
(Jun/Newcastle) 
*Coal price....112.10   +3.10    +2.84%:bangbang:*
(Jul/Newcastle)
*Coal price.....93.20    +2.90    +3.21%:bangbang:*
(Jun/Rotterdam) 
*Coal price.....92.35    +2.50    +2.78%:bangbang:*
(Jul/ Rotterdam)
 
*CPO(Agt)......4015   +98        +2.50%*
(Source: bursamalaysia.com)             
Corn.........656.75     -7.75      -1.17%
SoybeanOil...65.79  -1.02      -1.53%
Wheat.......663.50   -12.75     -1.89%

Wood pulp...5075.00  -25.00  -0.49%

:copyright:Phintraco Sekuritas 
Broker Code: *_AT_*
_Desy Erawati/ *DE*_

*Source*: Bloomberg, Investing, IBPA, CNBC, Bursa Malaysia
_Copyright: Phintraco Sekuritas_","INDX,TLKM,WOOD",6:42:09 AM,Sunday May 30 2021
85,86,Govi,"Membalas : Photo
Haka tins antm inco komoditas naik trs","ANTM,INCO,TINS",4:34:39 PM,Sunday May 30 2021
86,87,Bang Zalie,"ANTM menarik nih, apalagi breakout >2700
Ini adalah foto",ANTM,4:33:11 PM,Sunday May 30 2021
87,88,nathan,"Membalas : Gpp, mppa, mlpl, arto, babp dkk aja bisa terbang tinggi, padahal tau sendiri FA & kondisi di lapangannya. Klo Mari, kan yg po
nanti kalau udah selesai masa nya harga nya turun dalem lagi dan influncer yang pompom tinggal ganti saham lain aja cari lagi cerita baru bikin webinar lagi ","ARTO,BABP,MLPL,MPPA",4:17:45 PM,Sunday May 30 2021
88,89,Jose - GoVo,"Membalas : Bisnis.com: Historia Bisnis : Multipolar Siap Beli Saham Hero (HERO) Demi Perkuat Bisnis Ritel. https://market.bisnis.com/read/2
Siap beli saham hero, mlplnya terbang :rocket::rocket::rocket:, trus minggu depan ada penjelasan memang dari direksi ada rencana utk pembelian saham tsb, dan semoga dapat direalisasikan di 2022   ",MLPL,3:00:07 PM,Sunday May 30 2021
