,Data,User,Pesan,Saham,Jam,Tanggal
226,227,Jafar Sim,"Update 
Ihsg 5912
Bbkp 490 sempat 482 tadi    
Ihsg how low u can go?    ",BBKP,10:25:43 AM,Tuesday April 13 2021
227,228,Melvin E. S.,"Membalas : Photo
Harga lagi dijatuhkan nanti dinaikin lagi tapi msh dibawah harga BPJS TK. Jadi Bandar tetap bisa ambil untung tapi BPJS TK nggak bisa keluar. Itu salah satu kemungkinan. Kondisi masing masing saham tentu dibuat acak spy nggak terlalu kelihatan apa maksudnya...   ",SATU,10:17:21 AM,Tuesday April 13 2021
228,229,Fry,Mau bikin topi pake aluminium foil dulu baru baca,BACA,10:14:06 AM,Tuesday April 13 2021
229,230,Dream Big,"Teriakan protes investor ritel terhadap cara Bandar Lokal dalam mengatur pergerakan saham tersebar dimana-mana.  

Mungkin hanya BEI lah yang belum mendengar teriakan tersebut, karena masih menganggap lesunya IHSG disebabkan karena January Effect  .

Kami yakin Bandar pun sebenarnya sudah tahu ancaman terus bertambahknya migrasi investor ritel ke crypto kalau kondisi ini tidak segera di atasi. 

Namun sayangnya KRISIS BANDAR 2021 yang sejak awal kemunculannya sangat membuat kami khawatir, sepertinya belum terlihat kapan akan berakhir. 

Jadi di sisi lain Bandar Lokal sadar kalau harga saham perlu segera digoreng, namun di sisi lain, kalau harga saham digoreng, terutama saham-saham blue chip maka ada kemungkinan aksi menggoreng ini justru membuka jalan untuk BPJS TK keluar dari market dan mengurangi portfolio sahamnya  

Jadi memang kondisi sekarang cukup rumit, mari kita doakan supaya para Bandar bisa segera menemukan solusi dari masalah yang pelik ini, dan supaya BEI juga segera bisa membantu mencari solusi.
Ini adalah foto","AKSI,BLUE,MARI",10:11:58 AM,Tuesday April 13 2021
230,231,Dream Big,WSKT asing net buy,WSKT,10:04:59 AM,Tuesday April 13 2021
231,232,Melvin E. S.,"INKP tinggal dikit lagi selesai gambar segitiga sama kakinya. Suppirt  Ada di 8675. Kayaknya si om bandar lagi teringat pelajaran matematika masa masa SD dulu ya...   
Ini adalah foto","INKP,MASA",10:02:23 AM,Tuesday April 13 2021
232,233,Melvin E. S.,"TKIM, koreksinya membentuk segitiga sama kaki ya???
Ini adalah foto",TKIM,9:49:23 AM,Tuesday April 13 2021
233,234,Meneer Greg,"Membalas : ACES, lower BB aja dihantem juga pak  
Wait until NO lower low, before entrering...

Selama masih ada lower low ya diamkan saja walaupun sudah keluar LBB",ACES,9:45:48 AM,Tuesday April 13 2021
234,235,east wind,DMMX -> watchlist,DMMX,9:45:43 AM,Tuesday April 13 2021
235,236,Fajar Suryo,"#KIJA Daily
Regression Channel
13-Apr-2021 09:31
Ini adalah foto",KIJA,9:41:12 AM,Tuesday April 13 2021
236,237,Mbah Bedjo,"Membalas : BBKP nggak usah ngaku korea kalau nggak moncer   
Gak dia masih bagian sulawesi jd males moncer   ",BBKP,9:40:26 AM,Tuesday April 13 2021
237,238,Lee Khong Huan,"Membalas : https://finansial.bisnis.com/read/20210407/90/1378045/dua-bank-terafiliasi-korea-catatkan-kinerja-moncer-tahun-2020
BBKP nggak usah ngaku korea kalau nggak moncer   ","BANK,BBKP",9:39:42 AM,Tuesday April 13 2021
238,239,Fajar Suryo,"Membalas : To know: 1. Northstar group stocks refuse to go down 2. Watch for oversold stocks moving below lower bollinger bands. No lower l
ACES, lower BB aja dihantem juga pak  ",ACES,9:36:34 AM,Tuesday April 13 2021
239,240,RamSeS,BANK TBiG FREN  mantap,"BANK,FREN,TBIG",9:33:05 AM,Tuesday April 13 2021
240,241,Tommy Hermes,"Membalas : assa keatas 1945 yuk...
Enak banget scalping hari ini",ASSA,9:32:17 AM,Tuesday April 13 2021
241,242,Novine 90210,assa keatas 1945 yuk...,ASSA,9:31:42 AM,Tuesday April 13 2021
242,243,Nanang Eko,"Membalas : Bris bandar culun ...    
Bandarnya keabisan duit ini pak ",BRIS,9:31:33 AM,Tuesday April 13 2021
243,244,RBTAN59,"Membalas : Gak apa. Beli saat orang takut. Jual saat orang berani  
mppa n arto sdg pd takut Pak   ","ARTO,MPPA",9:30:44 AM,Tuesday April 13 2021
244,245,Kirana L,Bris bandar culun ...    ,BRIS,9:30:01 AM,Tuesday April 13 2021
245,246,Chezy,"Membalas : Harudnya bandar BRIS tdk beroangku tangan melihat panggungnya diambil BANK
Iya heran bris kalah sama bank, bandarnya harus berguru sama bandar bank dan arto","ARTO,BANK,BRIS",9:29:20 AM,Tuesday April 13 2021
246,247,Nanang Eko,"Membalas : Harudnya bandar BRIS tdk beroangku tangan melihat panggungnya diambil BANK
Pelan  aja mas ngetiknya biar ga bnyak typo nya ","BANK,BRIS",9:28:54 AM,Tuesday April 13 2021
247,248,Tony Iskandar,Harudnya bandar BRIS tdk beroangku tangan melihat panggungnya diambil BANK ,"BANK,BRIS",9:28:13 AM,Tuesday April 13 2021
248,249,Ocha,Asii go gogo,ASII,9:26:50 AM,Tuesday April 13 2021
249,250,Aidil Ramadhani,"Ayo doid, kamu pasti bisa    :rocket:",DOID,9:23:38 AM,Tuesday April 13 2021
250,251,Dream Big,TKIM INKP dapat harga bawah  ,"INKP,TKIM",9:20:38 AM,Tuesday April 13 2021
251,252,APORUTO,"Membalas : Katanya ihsg ke 7000ribu?  
Kelebihan satu nol nya",SATU,9:19:42 AM,Tuesday April 13 2021
252,253,Erich,di pasar sebelah ath..di sini unvr barusan buat 1 year low..unvr ga ikutan jual snack sampo digital aja ?,"SINI,UNVR",9:19:15 AM,Tuesday April 13 2021
253,254,Ferdy W,TBIG luar biasa,TBIG,9:19:11 AM,Tuesday April 13 2021
254,255,Benevelen,Bbri di harga berapa ya om,BBRI,9:12:30 AM,Tuesday April 13 2021
255,256,RamSeS,Tbig,TBIG,9:11:58 AM,Tuesday April 13 2021
