,Data,User,Pesan,Saham,Jam,Tanggal
46,47,Benhan,"Membalas : Masak udah beli menara 10 Trilyun lebh sponsor plg gsk harga cap kyk tbig towr minimal seribu
Ini nanti schemenya CENT bakal sama dg SAME.
Hayo kita summon @RuiAuxilia 

SAME:
EMTK akuisisi, lalu right issue buat bayar utang sekalian nambah modal.
Skrg mau right issue lagi (yg kedua after akuisisi) untuk pindahin EMC miliknya ke SAME. Jadi pakai dana dari pasar modal buat beli asetnya sendiri. Alasannya alignment bisnis.
Equity SAME nambah, aset nambah (ada dua RS EMC), EMTK untung besar selain harga sahamnya naik dan juga EMC nya dijual ke SAME dibantu retail yg right issue.
Cakep ya?

CENT:
EP ID yg punya saham CENT 40% lebih, beli tower Indosat 10T.
Right issue pertama CENT: nambah modal buat ekspansi. Skenarionya: CENT akan beli tower yg skrg di bawah EP ID, dg dana right issue.
Equity nambah, aset nambah, pemilik cuan.
PSP awal North Star juga hepi2 karena harga sahamnya naik after right issue, bisa out dg pundi2 mas...

Bagaimana agar right issuenya sukses besar? Partisipasi retail sangat dibutuhkan, selain keahlian menggambar market maker.","AGAR,CENT,EMTK,SAME,STAR,TBIG,TOWR",8:25:17 PM,Tuesday April 6 2021
47,48,Kaanz',Ada yang bilang ZBRA back dor listing? Gimna prospeknya?,ZBRA,8:20:57 PM,Tuesday April 6 2021
48,49,Meneer Greg,BNBA arb 13x,BNBA,8:20:49 PM,Tuesday April 6 2021
49,50,Billy,"Bukan berarti saya juga setelah arb normal jadi bagus ya perform nya bukan tp menurut saya arb 7% ini ga fair loh.. Klo naik terlalu cpt tp turun susah itu.. Klo yg ngerti cara kerja tape trading mungkin paham mksdnya...plus ketika ada suatu kejadian arb nya dibatasi 7 kan psikologis org jadi takut.. Tiap hari arb deh..

Contoh saham a ada news jelek terus market blg harus turun 21%
Nah kalau arb normal kan sehari aja tuh bisa plus banyak yg bottom fishing.. Coba kalau arb skrg.. Harus 3x bursa.. Itu pun blm termasuk efek domino psikologis org yg takut terus2an arb kaya saham bank digital itu",BANK,8:19:09 PM,Tuesday April 6 2021
50,51,(40334) Dwi Purnomo Setyo Budi,"Membalas : 16.00 tutup. Trus post closing
Asikkkk...",TRUS,8:08:11 PM,Tuesday April 6 2021
51,52,Hendro Masori,"Membalas : Balik jam 16?
Yesss. 16.30 malahan
16.00 tutup. Trus post closing",TRUS,8:07:07 PM,Tuesday April 6 2021
52,53,Kaanz',"Membalas : Klo yg Ara itu hati2 main jorok pasti ujung2nya Arb ini cent sekali pun blm pernh Ara msin nya slow tp pasti
Hahaha betul pak justru yang ARA tanpa koreksi itu bahaya ","CENT,MAIN,MSIN",8:03:14 PM,Tuesday April 6 2021
53,54,Aho Lie,"Klo yg Ara itu hati2 main jorok pasti ujung2nya Arb ini cent sekali pun blm pernh Ara msin nya slow tp pasti  
Membalas : Setuju lah menarik jadi invest di CENT  bagger yukk , SAME juga mau nyusul saya blom ada dana lagi
Sabar fokus aja tinggal pilih cent kanan Same kiri ","CENT,MAIN,MSIN,SAME",8:02:14 PM,Tuesday April 6 2021
54,55,Kaanz',"Setuju lah menarik jadi invest di CENT  bagger yukk , SAME juga mau nyusul saya blom ada dana lagi ","CENT,SAME",8:01:59 PM,Tuesday April 6 2021
55,56,Aho Lie,"Membalas : Iyak pak asal jngan kayak BNBA  , setalh naik pesat dihajar  
Jgn tp beda sponsornys pak  
Masak udah beli menara 10 Trilyun lebh sponsor plg gsk harga cap kyk tbig towr minimal seribu  ","BNBA,TBIG,TOWR",7:59:50 PM,Tuesday April 6 2021
