,Data,User,Pesan,Saham,Jam,Tanggal
62,63,Maimunah,"Membalas : 300 plus plus  
Mayan kalau yg ingat pesan ku bulan februari Maret yg aku bilang, sama kyk Pnbs itu 90an
Tapi ingat main sebtr sblm tidur lagi
Membalas : Mayan kalau yg ingat pesan ku bulan februari Maret yg aku bilang, sama kyk Pnbs itu 90an
 Bukan digroup ini","MAIN,PNBS",4:28:39 PM,Saturday April 17 2021
63,64,RBTAN59,"Membalas : Hmmmm, ngayal.com kalau ini dijual ke temasek bisa ngalahin Telkomsel ngak ya? Eh jgn sama XL aj dulu, kalau ISAT berat ya
bisa aja terjadi... skrg sdg trend akuisisi emiten... wong yg mau ipo aja antri krn salah satu cara utk bisa masuk urutan di forbes   ","ISAT,SATU",4:26:10 PM,Saturday April 17 2021
64,65,Maimunah,"Membalas : sempat dibawah 60
79 dpt
Membalas : hrs lwt 120 .. x yah.. dr delay cumdate aja sdh sebagai tanda perlu wkt utk kerek hrg... spy induk hrs lbh mahal dr teoritis ..
Iya kyknya Abis ri ...... Kuatir jalan copet masuk
Mainnya kudu pinter supir fren kalau tidak jadi tidur lagi",FREN,4:18:59 PM,Saturday April 17 2021
65,66,RBTAN59,"Membalas : Wah FREN tembus 100 nih hari Senin karena influencer
hrs lwt 120 .. x yah.. dr delay cumdate aja sdh sebagai tanda perlu wkt utk kerek hrg... spy induk hrs lbh mahal dr teoritis .. kalo gak sapa yg yg mau tebus ri nya ",FREN,4:18:31 PM,Saturday April 17 2021
66,67,Maimunah,"Membalas : Kalau PBV nya masih lebih rendah EXCL
Iya emang tapi dilapangan signalmys?",EXCL,4:17:58 PM,Saturday April 17 2021
67,68,Benhan,"Membalas : Ayo mau ngal kira kira sinar mas jual kolaps? Soalnya ini saham terendah dlm telekomunikasi
Kalau PBV nya masih lebih rendah EXCL",EXCL,4:16:29 PM,Saturday April 17 2021
68,69,Maimunah,"Ayo mau ngal kira kira sinar mas jual kolaps? Soalnya ini saham terendah dlm telekomunikasi
Jual atau kolaps sbb semua udh ngebut yg lain, minimal signal kuat kayaknya butuh doping byk buat sejajar tlkm",TLKM,4:14:25 PM,Saturday April 17 2021
69,70,Dream Big,"FREN sudah ku anggap gak ada nih saham, AVg di 60, biar profit yg running",FREN,4:13:51 PM,Saturday April 17 2021
70,71,Benhan,Wah FREN tembus 100 nih hari Senin karena influencer,FREN,4:12:08 PM,Saturday April 17 2021
71,72,Maimunah,"Membalas : Photo
Hmmmm, ngayal.com kalau ini dijual ke temasek bisa ngalahin Telkomsel ngak ya?  Eh jgn sama XL aj dulu, kalau ISAT berat ya",ISAT,4:11:39 PM,Saturday April 17 2021
72,73,Risky Hanafi,"Membalas : sini bos kalo bener saya invest 1M, ada2 aja
Gw langsung out sih, gak percaya begituan, masak iya gak ngapa""in cuman modal setor 500k bisa segitu  ",SINI,4:04:37 PM,Saturday April 17 2021
73,74,astronot,"Membalas : Tadi saya masuk ke group seperti beginian, gila coy Investasi 500k dapet 5 juta dalam 6 jam
sini bos kalo bener saya invest 1M, ada2 aja",SINI,4:03:41 PM,Saturday April 17 2021
74,75,aryo . VX,"wah parah sekuritas nya
koin nya di transfer ke sekuritas lain aja kali?",KOIN,3:58:43 PM,Saturday April 17 2021
75,76,Bos Muda,"Membalas : Yg dibeli apa berp pak org juga bingung tar situ belinya ikan goreng
LQ45 kak,",IKAN,2:55:29 PM,Saturday April 17 2021
76,77,Aho Lie,"Membalas : Kalau misal kita beli Jum at sore antara 14.50-15.00 , kemudian jual Senin Pagi, TP yg cocok paling tertinggi berapa ya ? #maa
Yg dibeli apa berp pak org juga bingung tar situ belinya ikan goreng ",IKAN,2:55:05 PM,Saturday April 17 2021
77,78,Risky Hanafi,Yang pegang ZINC rencana tp di harga berapa?,ZINC,2:53:40 PM,Saturday April 17 2021
78,79,Erich,"Membalas : member 12 rbuan chat belum baca 10rbuan  bendera putih sy
skip aja..banyakan bahas guguk yg ke bulan kemarin itu  ",BACA,2:24:08 PM,Saturday April 17 2021
79,80,Novine 90210,"member 12 rbuan
chat belum baca 10rbuan 
bendera putih sy",BACA,2:23:08 PM,Saturday April 17 2021
80,81,            ,"Membalas : Mau tanyak, yang menggunakan aplikasi IPOt, apakah pernah ditelpon dari Bank Permata meminta data data kita untuk tujuan pengiri
Kirim kartu gak akan di telp, akan otomatis dikirm dari pusat ke alamat terdaftar",BANK,2:13:38 PM,Saturday April 17 2021
81,82,Fajar Suryo,"Membalas : Mau tanyak, yang menggunakan aplikasi IPOt, apakah pernah ditelpon dari Bank Permata meminta data data kita untuk tujuan pengiri
Engga pernah
",BANK,11:58:34 AM,Saturday April 17 2021
82,83,Andre,"Membalas : Mau tanyak, yang menggunakan aplikasi IPOt, apakah pernah ditelpon dari Bank Permata meminta data data kita untuk tujuan pengiri
Blm pernah ,,,hati  penipuan om
",BANK,11:08:21 AM,Saturday April 17 2021
83,84,Dion,"Membalas : Okee gan terimakasihh banyak informasinyaa, untung aing belum ngasih informasi apapun
aneh sih RDN kan gk ada kartu kredit/atm nya, lagian klo asli dr bank mereka sdh pny data kita saat pendaftaran awal dulu. sangat mencurigakan klo saya
Membalas : Okee gan terimakasihh banyak informasinyaa, untung aing belum ngasih informasi apapun
saya jg pengguna ipot gk pernah dpt telpon begituan",BANK,11:06:38 AM,Saturday April 17 2021
84,85,Sudarmono Sutanto,"Membalas : Mau tanyak, yang menggunakan aplikasi IPOt, apakah pernah ditelpon dari Bank Permata meminta data data kita untuk tujuan pengiri
Blum pernah tuh
Hati2, byk modus skrg",BANK,11:01:07 AM,Saturday April 17 2021
85,86,Rays_Man,"Membalas : Mau tanyak, yang menggunakan aplikasi IPOt, apakah pernah ditelpon dari Bank Permata meminta data data kita untuk tujuan pengiri
gak pernah.. awas y.. bisa jd itu oknum
bisa",BANK,10:48:42 AM,Saturday April 17 2021
86,87,Suyanto SK,"Pergerakan index kita diminggu ini sangat luar biasa bisa closing dengan candle hijau, 
namun pergerakan index kita tertahan di FIB retracement 38% nya, dimana diarea tersebut juga merupakan area Resist Legend index kita.

Pola retracement yang biasa terjadi adalah 38-23-61, ini adalah pola umum yang biasa terjadi, walaupun ada beberapa pola retracement lain tentunya.
Kemungkinan besar index kita akan koreksi ke fib 23% nya, jika area ini berhasil menahan index maka kemungkinan index cukup kuat untuk break area resist legendnya, dan apabila index break down area 23% nya, tentu ini perkara yg sangat tidak kita inginkan semua, yg berpotensi untuk membuat bullish divergence baru.
Tentu dengan diawali penderitaan retail tentunya.... menangis nangis dipojokan menahan perihnya Floating Lost.

akan kah index kita berhasil break Resist Legendnya ??? , 
saksikan penjelasan detail video nya disini: https://youtu.be/oBN-csgS-8g",POLA,10:44:36 AM,Saturday April 17 2021
87,88,Dee,"Mau tanyak, yang menggunakan aplikasi IPOt, apakah pernah ditelpon dari Bank Permata meminta data data kita untuk tujuan pengiriman kartu? Mohon bantuannya agan2 sekalian",BANK,10:41:00 AM,Saturday April 17 2021
88,89,Eko Bawono,"#ESSA BIG PICTURE
Ini adalah foto
#ESSA
Ini adalah foto",ESSA,10:23:40 AM,Saturday April 17 2021
89,90,Melvin E. S.,"ESSA msh berpeluang naik lagi ????
Ini adalah foto",ESSA,10:17:13 AM,Saturday April 17 2021
90,91,Melvin E. S.,"Ada yang menarik di WSBP .... 
Ini adalah foto",WSBP,9:55:44 AM,Saturday April 17 2021
91,92,Jimmy,Ooo ok ok. Sip makasih infonya Mas. Soalnya saya lihat justru uda ada yang mulai ngumpulin pgas ini. Mulai icip deh  ,PGAS,9:37:35 AM,Saturday April 17 2021
92,93,Septian Hsb,"Essa gimna ya om? udah konfrm ascending triangle? @hmasori 
mohon koreksinya om",ESSA,9:37:01 AM,Saturday April 17 2021
93,94,Melvin E. S.,"Masih hrs hati hati dgn BBTN... Bandar masih terus keluar dari saham ini. Masih berpeluang turun...
Ini adalah foto",BBTN,9:14:38 AM,Saturday April 17 2021
94,95,Tommy Hermes,"Membalas : Kali2 match
Wkwkwk iseng iseng berhadiah
Membalas : Per pbv kecil tp DER mengkhawatirkan. Bahaya
WSKT dan WSBP:   apa itu DER hahaha... ",WSKT,9:10:59 AM,Saturday April 17 2021
95,96,Jutha Bram,"Membalas : Siklus 2-3 tahun hilang ini karena terbentuk herd immunity pak. Seperti 1918 spanish flu walaupun tanpa vaksin bisa hilang karen
Agreed sir...
Mengenail detail teknis yg anda sampaikan diatas, emang diluar kapasitas saya, krn saya bukan pakar di bid kesehatan ataupun per COVID an.
Saya hanya menyampaikan data, diperkuat dengan bukunya WD Gann Tunnel Thru the Air yg sdh disampaikan oleh mas joshuatheo diatas, bahwa penyakit pandemi pun ada siklusnya, yaitu 100 tahun sekali dan berlangsung selama 22-26bulan.

Kl kita percaya dgn prinsip dasar History Repeat Itself, maka tentu saja kita beranggapan Q1 2022 Covid ini akan selesai, entah bagaimana caranya.

Karena segala hal tidak akan terjadi jika belum tiba waktunya, dan segala sesuatu yg terjadi akan berhenti, jika telah habis waktunya, karena waktu adalah  faktor terpenting di semesta kita ini, bahkan di Agama saya, Tuhan pun bersumpah Demi waktu bbrp kali 

Kembali lg soal covid, Entah mengapa saya melihat bahwa Covid sudah tdk ada harga dirinya di negara kita yg nyeleneh ini.
Org2 kena covid, bawa sante aja isolasi mandiri, makan sehat, dan banyak2 konsumsi minyak kayu putih 

Kekuatan kearifan lokal ini, mungkin saja menjadi obat penyembuh utk negara kita.
Amiin semoga",KAYU,12:34:31 AM,Saturday April 17 2021
96,97,Jutha Bram,"Bagi rekan2 yg sdh tahunan di bursa, pasti tau kalau bursa adalah leading indicator. Bursa selalu bergerak duluan sblm kondisi real terjadi baik hal buruk maupun hal2 baik. Dmn bursa merespons dan bergerak duluan di rata2 dalam 6 bulan lbh awal.

Kalau diperkirakan Q1 2022 kasus covid seluruh dunia kelar ( sesuai dengan siklus pandemi yg per 22-26bulan), maka bursa seharusnya merespons lbh awal, dmn diperkirakan di Juli atau Agustus kita akan melihat suatu upside pressure dari bursa saham sluruh dunia.

Atau bisa jd skrg?
Wallahualam


Notes:
22 bulan dari desember 2019 adalah november 2021.
6 bulan lbh cepat= mei 2021.",REAL,12:10:54 AM,Saturday April 17 2021
97,98,Nana Paramita,"Membalas : 2022 awal
Amin  ",AMIN,12:05:47 AM,Saturday April 17 2021
98,99,Nana Paramita,"Membalas : Nah setuju, saya tunggu lancongnya ke Bali lagi      last time ga bisa ikutan karena sibuk kerja sayangnya
Ikuuuttt    ",BALI,12:03:12 AM,Saturday April 17 2021
